recipe_id,synergy_score,conflict_score,final_balance_score,synergy_normalized,conflict_normalized,balance_normalized,conflict_good,sqe_total,n_ingredients,roles_summary,base_count,modifier_count,acid_count,sweetener_count
26,0.43496192,0.0597978756331194,-0.1784766083223957,0.006494215663451068,0.0597978756331194,0.8398100942429716,0.9402021243668806,0.536601351848336,4,"base:1,modifier:1,sweetener:1",1.0,1.0,0.0,1.0
27,0.5478083942296779,0.0328043426331092,-0.1570025228452289,0.008179074283965712,0.0328043426331092,0.8766524130734592,0.9671956573668908,0.5564260508456913,4,"base:1,modifier:1,sweetener:1",1.0,1.0,0.0,1.0
28,2.1892027822281728,0.014218836733622,-0.1584680658020836,0.03268597627768623,0.014218836733622,0.8741380335468606,0.985781163266378,0.5710501495550461,5,"base:1,modifier:1,acid:1,sweetener:1",1.0,1.0,1.0,1.0
29,5.513057483830971,0.0849495352861433,-0.2114516963933608,0.08231291664567146,0.0849495352861433,0.7832359174536656,0.9150504647138566,0.5424110813085252,5,"base:1,modifier:1,acid:1,sweetener:1",1.0,1.0,1.0,1.0
30,1.6172350164733629,0.006663274912075,-0.1998436438930995,0.02414618956864743,0.006663274912075,0.8031514371003765,0.993336725087925,0.5486049244839494,5,"base:1,modifier:1,acid:1,sweetener:1",1.0,1.0,1.0,1.0
31,0.5687947680000001,0.033289218021749,-0.1086015123779107,0.00849241214411279,0.033289218021749,0.9596922920592612,0.966710781978251,0.5813178870688988,4,"base:1,modifier:1,sweetener:1",1.0,1.0,0.0,1.0
32,1.5394048591959428,0.031645554687918,-0.2399049246171825,0.022984143414170547,0.031645554687918,0.7344197335424442,0.968354445312082,0.5200259110220261,6,"base:1,modifier:1,acid:1,sweetener:1",1.0,1.0,1.0,1.0
33,5.7940977101887805,0.0312423509542522,-0.1645154850159434,0.0865089985465255,0.0312423509542522,0.8637626931387421,0.9687576490457478,0.5843597020739572,7,"base:1,modifier:1,acid:1,sweetener:1",1.0,1.0,1.0,1.0
34,0.422353088,0.04030108895869,-0.2816068846184399,0.006305959012679839,0.04030108895869,0.6628731753499566,0.95969891104131,0.48929400952245194,3,"base:1,acid:1,sweetener:1",1.0,0.0,1.0,1.0
35,6.674029807817261,0.0245765985300102,-0.2478223267544703,0.09964685854859702,0.0245765985300102,0.7208361304520449,0.9754234014699898,0.5487366029960492,4,"base:1,modifier:1,acid:1,sweetener:1",1.0,1.0,1.0,1.0
36,1.389565976766765,0.037692600666564,-0.2225237464914762,0.02074696822130408,0.037692600666564,0.7642399979182034,0.962307399333436,0.5262630064640135,6,"base:1,modifier:1,acid:1,sweetener:1",1.0,1.0,1.0,1.0
37,5.686954797055271,0.0188896268162433,-0.1469635165329221,0.08490929716416215,0.0188896268162433,0.8938759764094882,0.9811103731837567,0.5964596237436384,6,"base:1,modifier:1,acid:1,sweetener:1",1.0,1.0,1.0,1.0
38,1.110903936,0.0253278714036375,-0.1888957348844973,0.01658639391181794,0.0253278714036375,0.8219343722177282,0.9746721285963625,0.5456165078089544,4,"base:1,modifier:1,acid:1,sweetener:1",1.0,1.0,1.0,1.0
39,6.674029807817261,0.0206349872125528,-0.2872805192265785,0.09964685854859702,0.0206349872125528,0.6531391237935824,0.9793650127874473,0.5296099843937476,4,"base:1,modifier:1,acid:1,sweetener:1",1.0,1.0,1.0,1.0
40,0.2553687129848105,0.0,-0.1994616367213138,0.003812792383805222,0.0,0.8038068331140241,1.0,0.5426671668877293,3,"base:1,modifier:1",1.0,1.0,0.0,0.0
41,0.21324804,0.0124223478741493,-0.1234180364823641,0.003183908056981723,0.0124223478741493,0.9342721126715848,0.9875776521258507,0.5778284926620233,3,"base:1,modifier:1",1.0,1.0,0.0,0.0
42,1.1068687667773085,0.0218623117409271,-0.2708793542431396,0.01652614666265489,0.0218623117409271,0.681278014744435,0.9781376882590729,0.5044351695661142,3,"base:1,modifier:1,sweetener:1",1.0,1.0,0.0,1.0
43,1.03400362229384,0.0249499217279784,-0.1303704009472319,0.015438230822518434,0.0249499217279784,0.9223441901291901,0.9750500782720216,0.5753935728493709,4,"base:1,modifier:2,sweetener:1",1.0,2.0,0.0,1.0
44,0.258862064,0.0241780647774736,-0.1999347435316489,0.0038649499953974653,0.0241780647774736,0.8029951407154923,0.9758219352225264,0.5351911027795646,3,"base:1,modifier:1,sweetener:1",1.0,1.0,0.0,1.0
45,1.12886584,0.0570280957108585,-0.2762600965306477,0.01685457480981978,0.0570280957108585,0.672046468045422,0.9429719042891415,0.49124734162429695,5,"base:1,modifier:1,sweetener:1",1.0,1.0,0.0,1.0
46,1.4138818,0.0900531117577139,-0.201166249211943,0.021110016554617906,0.0900531117577139,0.8008822905564855,0.9099468882422861,0.5216927602614787,5,"base:1,modifier:2,acid:1",1.0,2.0,1.0,0.0
47,0.6385202560000001,0.0149604691580462,-0.1724800204736907,0.009533451222456406,0.0149604691580462,0.8500982250996699,0.9850395308419538,0.5543547072714696,4,"base:1,modifier:1,acid:1,sweetener:1",1.0,1.0,1.0,1.0
